location_index,location,feature_completeness_percent,number_of_values,number_of_empty_fields,number_of_records,mean,median,_mode_,max,min,_range_
164,"North Korea",100.00,2364,0,2364,0.0000,0.0000,1182,0,0,0
165,"North Macedonia",100.00,1309656,0,1309656,293.9865,128.5000,253,2332,0,2332
166,"Northern Cyprus",0.00,0,691,691,NULL,NULL,0,NULL,NULL,NULL
167,"Northern Ireland",0.00,0,1124,1124,NULL,NULL,0,NULL,NULL,NULL
168,"Northern Mariana Islands",100.00,245856,0,245856,11.6311,0.0000,866,434,0,434
169,Norway,100.00,1590972,0,1590972,1252.6684,214.0000,56,29479,0,29479
170,Oceania,100.00,1758816,7440,1766256,11652.2140,261.0000,53,589296,0,589296
171,Oman,100.00,597586,506,598092,338.2329,32.0000,419,3544,0,3544
172,Pakistan,100.00,987316,836,988152,1337.2100,626.0000,158,8183,0,8183
173,Palau,100.00,172572,0,172572,5.0736,0.0000,1050,322,0,322
174,Palestine,100.00,1368756,0,1368756,594.9475,168.5000,438,11016,0,11016
175,Panama,100.00,1652436,0,1652436,873.8909,401.5000,307,19722,0,19722
176,"Papua New Guinea",100.00,489348,2070,491418,39.6235,3.0000,484,798,0,798
177,Paraguay,100.00,1307292,2212,1309504,622.4695,61.0000,393,14991,0,14991
178,Peru,100.00,2411280,8160,2419440,3800.0448,1896.0000,84,59470,0,59470
179,Philippines,100.00,2232560,3784,2236344,3457.7814,1502.5000,111,38867,0,38867
180,Pitcairn,100.00,4728,0,4728,0.0034,0.0000,1181,4,0,4
181,Poland,100.00,1137303,4815,1142118,5496.5428,820.0000,63,57659,0,57659
182,Portugal,100.00,1142451,2907,1145358,4728.6115,1005.0000,60,69617,0,69617
183,"Puerto Rico",100.00,1796640,0,1796640,936.5355,322.5000,90,16314,0,16314
184,Qatar,100.00,728677,617,729294,422.1194,228.0000,92,4206,0,4206
185,Reunion,100.00,465708,0,465708,418.4391,0.0000,864,46914,0,46914
186,Romania,100.00,1041057,2649,1043706,2856.5912,1030.0000,189,40018,0,40018
187,Russia,99.00,1289652,6552,1296204,19139.4124,10559.0000,70,203949,0,203949
188,Rwanda,100.00,692652,0,692652,112.6853,14.5000,319,2773,0,2773
189,"Saint Barthelemy",100.00,151296,0,151296,4.6252,0.0000,1041,502,0,502
190,"Saint Helena",100.00,52008,0,52008,1.8325,0.0000,1153,849,0,849
191,"Saint Kitts and Nevis",100.00,158388,0,158388,5.5821,0.0000,765,238,0,238
192,"Saint Lucia",100.00,380604,0,380604,25.4044,1.0000,577,568,0,568
193,"Saint Martin (French part)",100.00,212760,0,212760,10.3866,0.0000,1010,2295,0,2295
194,"Saint Pierre and Miquelon",100.00,94560,0,94560,2.8926,0.0000,1074,577,0,577
195,"Saint Vincent and the Grenadines",100.00,102747,87,102834,8.2896,0.0000,645,206,0,206
196,Samoa,100.00,167844,0,167844,14.1074,0.0000,1086,1855,0,1855
197,"San Marino",100.00,274224,0,274224,20.1337,6.0000,344,274,0,274
198,"Sao Tome and Principe",100.00,156024,0,156024,5.4459,0.0000,705,319,0,319
199,"Saudi Arabia",100.00,859768,728,860496,705.0881,290.0000,69,5928,0,5928
